Price,Close,High,Low,Open,Volume,MA21,MA50
Ticker,^NYA,^NYA,^NYA,^NYA,^NYA,,
Date,,,,,,,
2023-08-28,15879.58984375,15911.8095703125,15766.91015625,15766.91015625,2957230000,15993.955078125,15962.25833984375
2023-08-29,16041.490234375,16044.1298828125,15868.0498046875,15879.58984375,3354820000,15975.583705357143,15967.1857421875
2023-08-30,16074.2197265625,16120.2802734375,16041.490234375,16041.490234375,3064110000,15962.141322544643,15975.69173828125
2023-08-31,16000.3701171875,16100.8095703125,15999.75,16074.2197265625,3946360000,15953.84751674107,15982.559140625
2023-09-01,16091.7900390625,16152.3603515625,16000.3701171875,16000.3701171875,3246260000,15952.24609375,15992.3809375
2023-09-05,15942.48046875,16096.509765625,15942.3896484375,16091.7900390625,3526250000,15946.123279389882,16001.8435546875
2023-09-06,15891.5302734375,15946.8701171875,15819.3896484375,15942.48046875,3418850000,15931.042317708334,16009.29935546875
2023-09-07,15864.1904296875,15897.41015625,15811.66015625,15891.5302734375,3763760000,15916.17759486607,16013.6495703125
2023-09-08,15878.990234375,15914.2099609375,15847.080078125,15864.1904296875,3259290000,15903.950009300595,16018.88216796875
2023-09-11,15949.4404296875,15989.6796875,15878.990234375,15878.990234375,3369920000,15895.10337611607,16023.12337890625
2023-09-12,15953.91015625,16022.51953125,15915.5498046875,15949.4404296875,3435740000,15886.081008184523,16024.68337890625
2023-09-13,15926.6396484375,15989.740234375,15892.5498046875,15953.91015625,3529430000,15877.061476934523,16024.846171875
2023-09-14,16089.48046875,16105.8603515625,15926.6396484375,15926.6396484375,3648720000,15885.545805431548,16029.92517578125
2023-09-15,15973.6796875,16094.580078125,15960.259765625,16089.48046875,6932230000,15892.953869047618,16036.56537109375
2023-09-18,15952.51953125,15989.2099609375,15910.490234375,15973.6796875,3161230000,15903.341471354166,16042.1831640625
2023-09-19,15929.009765625,15980.9599609375,15861.8896484375,15952.51953125,3614880000,15911.857654389882,16045.78595703125
2023-09-20,15859.6201171875,16029.8095703125,15856.740234375,15929.009765625,3308450000,15917.258138020834,16045.03216796875
2023-09-21,15601.599609375,15859.6201171875,15599.7197265625,15859.6201171875,3662340000,15913.035249255952,16036.8385546875
2023-09-22,15569.509765625,15669.9599609375,15561.7900390625,15601.599609375,3349570000,15900.951450892857,16026.0917578125
2023-09-25,15593.73046875,15597.650390625,15491.23046875,15569.509765625,3195650000,15896.70005580357,16017.1617578125
2023-09-26,15381.580078125,15593.73046875,15371.75,15593.73046875,3472340000,15878.351004464286,16003.7099609375
2023-09-27,15394.6904296875,15454.1201171875,15288.4501953125,15381.580078125,3875880000,15855.260556175595,15988.47357421875
2023-09-28,15478.0703125,15526.330078125,15390.25,15394.6904296875,3846230000,15828.43103608631,15973.416171875
